link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2931673,2931671,39.429493,-91.078896,1.3301067,0.82136965,0.06,0.12,2.2168446,6.6505337,1798.0,,57
2931725,2931717,39.409214,-91.033485,1.2991935,0.8299353,0.06,0.12,2.1653225,6.4959674,1838.0,,57
2931925,2931911,39.3548,-91.00174,0.89695054,0.977309,0.06,0.12,1.4949175,4.4847527,579.0,,57
2931941,2931911,39.34963,-91.01076,1.8148187,0.71614885,0.06,0.12,3.024698,9.074094,1847.0,,57
2932017,2932013,39.315155,-91.03109,1.5566969,0.7662995,0.06,0.12,2.5944948,7.7834845,2015.0,,57
2924141,2924205,39.53804,-90.808624,2.758248,0.5953843,0.06,0.12,4.59708,13.791241,1516.0,,57
2932023,2932013,39.309532,-91.02547,3.0602696,0.56870717,0.06,0.12,5.100449,15.301348,1358.0,,57
4868809,4869793,39.4576,-91.092155,2.7656953,0.5946765,0.06,0.12,4.6094923,13.828477,5922.0,,57
2924173,2924209,39.530693,-90.96409,3.529091,0.5340458,0.06,0.12,5.8818183,17.645454,1955.0,,57
2927093,2927101,39.517395,-91.01736,3.2894742,0.5508717,0.06,0.12,5.4824567,16.44737,1122.0,,57
2924265,2928831,39.500816,-90.824265,3.5707488,0.531288,0.06,0.12,5.951248,17.853745,319.0,,57
2924149,2924177,39.53884,-90.89089,5.031958,0.45667222,0.055,0.11,8.386598,30.0,1126.0,,57
2924231,2924261,39.508247,-90.77202,6.419761,0.4101438,0.055,0.11,10.699601,32.098804,1160.0,,57
2932219,2932221,39.48077,-91.07496,3.597927,0.5295138,0.055,0.11,5.996545,30.0,1214.0,,57
4869787,4869791,39.482224,-91.09222,5.928003,0.42482048,0.055,0.11,9.880004,30.0,86.0,,57
2931723,2931717,39.40736,-91.02696,7.23142,0.38915735,0.055,0.11,12.052366,50.0,117.0,,57
2931675,2931671,39.42367,-91.07226,6.5889487,0.40546376,0.055,0.11,10.981581,32.944744,948.0,,57
2928917,2928911,39.46549,-90.731346,9.10678,0.35151613,0.055,0.11,15.177966,50.0,711.0,,57
2927095,2927101,39.517227,-91.025505,15.45435,0.27836412,0.05,0.1,25.75725,77.27175,555.0,,57
4869785,4869791,39.48459,-91.096924,30.305925,0.20681372,0.05,0.1,50.509876,151.52963,1039.0,,57
2932159,2932231,39.49072,-91.063644,112.84477,0.1157945,0.045,0.09,188.07462,564.2239,889.0,,57
2932237,2932163,39.483463,-91.0667,0.57739973,1.1869308,0.06,0.12,0.9623329,2.8869987,364.0,,57
2932167,2931647,39.47966,-91.06406,0.49581674,1.2694383,0.06,0.12,0.82636124,2.4790838,370.0,,57
2932217,2932221,39.478046,-91.06988,1.389553,0.80567765,0.06,0.12,2.3159218,6.947765,311.0,,57
2924127,2924141,39.548645,-90.82648,2.2062273,0.65702826,0.06,0.12,3.6770453,11.0311365,3178.0,,58
2924165,2924173,39.541122,-90.95532,1.5740062,0.7625702,0.06,0.12,2.6233437,7.8700314,2054.0,,58
2924213,2924231,39.523815,-90.7716,2.2930012,0.6459406,0.06,0.12,3.8216684,11.465005,3575.0,,58
2927075,2927093,39.534317,-91.01297,2.208448,0.65673673,0.06,0.12,3.6807466,11.042239,3139.0,,58
2931677,2931675,39.423286,-91.08937,1.8323677,0.71311486,0.06,0.12,3.053946,9.161838,2625.0,,58
2932033,2932023,39.301853,-91.043655,2.1543293,0.66396475,0.06,0.12,3.5905488,10.7716465,2591.0,,58
2932057,2932023,39.29005,-91.03868,2.4372113,0.628791,0.06,0.12,4.062019,12.186056,4160.0,,58
4869885,4868809,39.44031,-91.11226,1.0273083,0.9205181,0.06,0.12,1.7121805,5.1365414,185.0,,58
2924123,2924149,39.54987,-90.888306,2.9485376,0.57811606,0.06,0.12,4.9142294,14.742687,1524.0,,58
2928945,2928917,39.460625,-90.7267,2.6841536,0.6025801,0.06,0.12,4.473589,13.420767,756.0,,58
4869781,4869785,39.488457,-91.10004,1.1972947,0.86038727,0.06,0.12,1.9954913,5.9864736,60.0,,58
2924163,2924173,39.53329,-90.953094,3.144917,0.5619025,0.06,0.12,5.241528,15.724585,350.0,,58
2924267,2924265,39.50073,-90.83213,2.01207,0.6842807,0.06,0.12,3.35345,10.06035,1251.0,,58
2927073,2927093,39.52389,-91.010216,2.6029315,0.61080426,0.06,0.12,4.338219,13.014657,2049.0,,58
2924255,2924265,39.505318,-90.82879,3.2653863,0.55266076,0.06,0.12,5.442311,16.326931,960.0,,58
2924121,2924149,39.54474,-90.886894,4.6042414,0.47492465,0.06,0.12,7.6737356,23.021208,579.0,,58
2924215,2924231,39.512806,-90.76184,6.2797613,0.41415292,0.055,0.11,10.466269,31.398806,1179.0,,58
2931637,2932219,39.485992,-91.07701,3.5217693,0.53453535,0.055,0.11,5.869615,30.0,94.0,,58
4869789,4869787,39.481808,-91.09227,5.927736,0.42482895,0.055,0.11,9.8795595,30.0,13.0,,58
2931729,2931723,39.40543,-91.02785,7.2289786,0.38921532,0.055,0.11,12.048298,50.0,385.0,,58
2931731,2931723,39.40445,-91.026596,0.6627467,1.1168933,0.06,0.12,1.1045779,3.3137338,579.0,,58
2931697,2931675,39.415638,-91.08546,6.51172,0.4075783,0.055,0.11,10.852867,32.5586,2004.0,,58
2928923,2928917,39.46351,-90.72588,9.010381,0.35317037,0.055,0.11,15.017302,50.0,392.0,,58
2927089,2927095,39.52008,-91.03022,15.452531,0.27837858,0.05,0.1,25.754217,77.26265,506.0,,58
4869783,4869785,39.493248,-91.105644,30.30427,0.20681871,0.05,0.1,50.50712,151.52135,1547.0,,58
2932155,2932159,39.497303,-91.06475,112.84433,0.1157947,0.045,0.09,188.07388,564.2216,632.0,,58
2932157,2932159,39.497128,-91.068695,2.2575984,0.65039,0.06,0.12,3.7626638,11.287992,878.0,,58
2932213,2932217,39.48045,-91.06898,1.3311852,0.821076,0.06,0.12,2.218642,6.655926,260.0,,58
2932215,2932217,39.47974,-91.06847,0.484577,1.2823453,0.06,0.12,0.80762833,2.422885,153.0,,58
