link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
3599842,3599898,39.414066,-90.67086,1.6635514,0.7441808,0.06,0.12,2.7725856,8.317757,2187.0,,57
3599912,3599914,39.404255,-90.6828,2.1942415,0.6586092,0.06,0.12,3.6570692,10.971208,3132.0,,57
3599954,3599914,39.395187,-90.68676,2.343657,0.6397435,0.06,0.12,3.906095,11.718286,3264.0,,57
3600052,3600046,39.378716,-90.71143,1.5977868,0.757542,0.06,0.12,2.662978,7.988934,1267.0,,57
5915565,5915505,39.178986,-90.43202,1.3295668,0.82151675,0.06,0.12,2.2159448,6.6478343,1786.0,,57
5915575,5915505,39.17989,-90.438576,1.5618498,0.7651831,0.06,0.12,2.6030831,7.8092494,2213.0,,57
2511007,2511441,38.969704,-90.99426,2.0302749,0.6815669,0.06,0.12,3.3837914,10.151375,1136.0,,57
2931061,937110087,39.129738,-90.68162,1.8253874,0.7143166,0.06,0.12,3.0423121,9.126937,100.0,,57
3599840,3599898,39.411564,-90.659454,2.3371701,0.6405263,0.06,0.12,3.8952835,11.68585,324.0,,57
3599974,3600040,39.38863,-90.510124,2.1680012,0.6621142,0.06,0.12,3.6133354,10.840006,534.0,,57
3599996,3600088,39.386616,-90.48004,1.9741673,0.69004595,0.06,0.12,3.290279,10.0,557.0,,57
3600184,3600140,39.3534,-90.495865,2.363796,0.63733315,0.06,0.12,3.93966,11.81898,1114.0,,57
5915535,5915527,39.18207,-90.41532,2.3409584,0.64006877,0.06,0.12,3.9015973,11.704792,943.0,,57
5916037,5915351,39.21257,-90.40557,1.9438812,0.6947686,0.06,0.12,3.239802,9.719406,561.0,,57
2930643,2929913,39.138042,-90.80816,1.9464616,0.6943621,0.06,0.12,3.2441027,9.732308,276.0,,57
3599862,3599924,39.415737,-90.60056,3.3786795,0.544407,0.06,0.12,5.631132,16.893396,2215.0,,57
3599972,3600040,39.391506,-90.5047,2.6847057,0.60252535,0.06,0.12,4.4745097,13.423529,1375.0,,57
3600924,3599924,39.40585,-90.59588,2.565016,0.61477125,0.06,0.12,4.275027,12.82508,854.0,,57
2512413,2512399,38.85195,-91.00264,3.1417658,0.5621511,0.06,0.12,5.2362766,15.70883,954.0,,57
3599880,3599926,39.40225,-90.57494,4.098733,0.49992844,0.06,0.12,6.831222,20.493666,437.0,,57
3599906,3599926,39.399384,-90.57792,3.0767787,0.5673589,0.06,0.12,5.127964,15.383893,431.0,,57
3599994,3600088,39.38825,-90.47067,3.8069947,0.51648206,0.055,0.11,6.344991,30.0,1988.0,,57
5915567,5915527,39.17824,-90.41894,4.3745914,0.4857669,0.055,0.11,7.290986,30.0,782.0,,57
2929739,2929745,39.18864,-90.7758,4.8136673,0.46569553,0.055,0.11,8.0227785,30.0,1818.0,,57
2931069,937110087,39.128536,-90.68121,2.4575336,0.6264916,0.06,0.12,4.0958896,12.287668,292.0,,57
5915289,5915317,39.22846,-90.424095,4.5442305,0.47768152,0.06,0.12,7.573717,22.721151,3407.0,,57
2510973,2510977,38.99937,-90.92213,4.2818356,0.4903816,0.06,0.12,7.1363926,21.409178,1946.0,,57
2930623,2938449,39.186424,-90.71262,2.5352705,0.61794305,0.06,0.12,4.2254505,12.676352,479.0,,57
937110050,937110051,39.14124,-90.689545,3.5086794,0.5354142,0.06,0.12,5.847799,17.543396,100.0,,57
2512403,2512399,38.85825,-91.01355,5.347227,0.44459158,0.055,0.11,8.9120455,30.0,2988.0,,57
2929873,2929859,39.148525,-90.817635,4.247542,0.49212438,0.055,0.11,7.079237,30.0,645.0,,57
2512251,2512257,38.91135,-91.00864,6.0460033,0.42114243,0.055,0.11,10.076672,30.230017,1013.0,,57
2512261,2512257,38.90542,-91.00994,8.326788,0.3656802,0.055,0.11,13.87798,41.63394,372.0,,57
2510971,2510977,38.998047,-90.93073,6.0978775,0.41955808,0.055,0.11,10.16313,30.489388,548.0,,57
3600142,3600140,39.357887,-90.49417,15.252643,0.2799822,0.05,0.1,25.42107,76.263214,90.0,,57
5915287,5915317,39.221146,-90.415184,20.211039,0.24728596,0.05,0.1,33.685066,101.0552,451.0,,57
2507383,2510979,39.00254,-90.949135,20.706503,0.24465783,0.05,0.1,34.510838,103.53252,670.0,,57
3601032,3601030,39.412373,-90.615204,65.00806,0.14769167,0.045,0.09,108.34676,325.04028,571.0,,57
2930625,2938449,39.187054,-90.71491,113.940956,0.1153017,0.045,0.09,189.90158,569.7048,546.0,,57
2930859,2930861,39.169735,-90.728676,3.1867197,0.55863863,0.06,0.12,5.3111997,15.9335985,1669.0,,57
2930839,2930861,39.17252,-90.71844,2.5122335,0.62043655,0.06,0.12,4.187056,12.561168,2150.0,,57
2930927,2930945,39.136917,-90.71254,0.9998721,0.93157744,0.06,0.12,1.6664535,4.9993606,960.0,,57
2930929,2929909,39.142063,-90.70027,0.9474786,0.95396286,0.06,0.12,1.579131,4.737393,94.0,,57
2929935,2930947,39.132446,-90.71204,0.4921254,1.2736303,0.06,0.12,0.820209,2.460627,237.0,,57
2930939,2930945,39.133167,-90.71078,1.6325823,0.75037605,0.06,0.12,2.7209706,8.162911,116.0,,57
2930669,2929979,39.119183,-90.676796,1.0626479,0.9068847,0.06,0.12,1.7710799,5.31324,88.0,,57
2930673,2929981,39.118763,-90.67687,1.464,0.78733873,0.06,0.12,2.44,7.32,87.0,,57
2507325,2507383,39.004215,-90.95178,1.5349295,0.771075,0.06,0.12,2.5582159,7.6746473,1160.0,,58
2510969,2510973,38.996292,-90.90085,2.0544527,0.67801654,0.06,0.12,3.4240878,10.272264,1932.0,,58
2512011,2511007,38.97321,-91.00613,1.6190592,0.7531347,0.06,0.12,2.698432,8.095296,1171.0,,58
2512419,2512403,38.8565,-91.02951,1.9153128,0.69932157,0.06,0.12,3.192188,9.576564,2582.0,,58
2930459,2931061,39.130024,-90.670166,1.8192369,0.7153811,0.06,0.12,3.0320613,9.096184,1982.0,,58
3599788,3599862,39.428703,-90.593056,2.0387888,0.6803098,0.06,0.12,3.3979812,10.193944,1609.0,,58
3599828,3599840,39.422157,-90.67254,2.1364074,0.6664163,0.06,0.12,3.5606792,10.682037,3211.0,,58
3599858,3600924,39.415253,-90.58944,1.7572658,0.72640353,0.06,0.12,2.9287763,8.786329,2212.0,,58
3599866,3599880,39.403526,-90.55227,2.0565393,0.677713,0.06,0.12,3.4275653,10.282696,3564.0,,58
3599948,3599974,39.39865,-90.5112,1.35865,0.81371164,0.06,0.12,2.2644167,6.7932496,1821.0,,58
3599950,3599974,39.399315,-90.51853,1.926944,0.6974562,0.06,0.12,3.2115734,9.63472,2546.0,,58
3599960,3599996,39.396057,-90.482574,1.6886995,0.73927104,0.06,0.12,2.8144991,8.443497,2125.0,,58
3599962,3599996,39.39324,-90.48477,1.3126153,0.8261806,0.06,0.12,2.1876922,6.563076,1369.0,,58
3600004,3599906,39.388275,-90.584366,1.9546746,0.69307345,0.06,0.12,3.257791,9.773373,2377.0,,58
3600222,3600142,39.34493,-90.48834,1.7011727,0.73687476,0.06,0.12,2.8352878,8.505863,2999.0,,58
3600936,3600184,39.344345,-90.506386,1.8875352,0.7038434,0.06,0.12,3.145892,9.437675,2384.0,,58
3600938,3600184,39.33875,-90.49806,1.6469615,0.7474787,0.06,0.12,2.7449358,8.234807,2394.0,,58
5915425,5916037,39.202106,-90.40075,1.7541174,0.7269784,0.06,0.12,2.923529,8.770587,2363.0,,58
5915545,5915535,39.182827,-90.400185,1.6781094,0.7413257,0.06,0.12,2.796849,8.390547,2049.0,,58
5915581,5915535,39.17537,-90.40081,1.7151197,0.73422515,0.06,0.12,2.858533,8.575599,2508.0,,58
5915959,5915289,39.247963,-90.427414,2.0958726,0.67207205,0.06,0.12,3.4931211,10.479363,2057.0,,58
2512443,2512413,38.84337,-91.00679,2.2318044,0.6536956,0.06,0.12,3.719674,11.159022,1527.0,,58
2930645,2930643,39.13686,-90.80873,1.8673569,0.7071887,0.06,0.12,3.1122615,9.336784,7.0,,58
3599856,3600924,39.420013,-90.58236,2.172591,0.66149676,0.06,0.12,3.6209848,10.862954,5016.0,,58
3599902,3599972,39.397224,-90.50237,2.3231764,0.6422256,0.06,0.12,3.8719606,11.615882,301.0,,58
3599930,3599994,39.395397,-90.466034,2.7440295,0.5967434,0.06,0.12,4.5733824,13.720147,617.0,,58
3600918,3599862,39.436874,-90.59618,2.7650437,0.5947383,0.06,0.12,4.608406,13.825218,3204.0,,58
5915281,5915287,39.22638,-90.411156,1.1784753,0.8664221,0.06,0.12,1.9641255,5.8923764,1475.0,,58
5915599,5915567,39.172436,-90.42206,2.3493943,0.6390538,0.06,0.12,3.915657,11.746971,1012.0,,58
2512233,2512251,38.9156,-91.01026,2.084201,0.6737299,0.06,0.12,3.4736683,10.421005,164.0,,58
2512281,2512261,38.901398,-91.01324,2.898817,0.58246994,0.06,0.12,4.831362,14.494085,937.0,,58
2512421,2512413,38.848083,-91.009094,2.5864112,0.6125224,0.06,0.12,4.310685,12.932055,621.0,,58
2929885,2929873,39.146187,-90.82222,2.6831863,0.60267586,0.06,0.12,4.471977,13.415932,387.0,,58
2931067,2931069,39.12729,-90.68045,1.6914115,0.7387479,0.06,0.12,2.819019,8.457058,28.0,,58
3599868,3599880,39.40765,-90.57171,3.8726075,0.51260304,0.06,0.12,6.4543457,19.363037,1011.0,,58
3599928,3599994,39.394955,-90.46367,2.8842344,0.58376735,0.06,0.12,4.8070574,14.421172,577.0,,58
3599952,3599906,39.397713,-90.57078,2.7561507,0.59558415,0.06,0.12,4.5935845,13.780753,1594.0,,58
5915625,5915567,39.169685,-90.41511,4.0634637,0.5018382,0.055,0.11,6.772439,30.0,1800.0,,58
2929701,2929739,39.195698,-90.77545,4.2512784,0.49193352,0.06,0.12,7.085464,21.256392,178.0,,58
2929707,2929739,39.198196,-90.78195,2.91526,0.5810182,0.06,0.12,4.8587666,14.576301,1672.0,,58
2931071,2931069,39.125954,-90.67988,2.127336,0.66766846,0.06,0.12,3.5455601,10.636681,321.0,,58
5915195,5915289,39.239986,-90.437996,4.1338415,0.4980508,0.06,0.12,6.8897357,20.669207,2364.0,,58
