Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                5000.00*             20.43       0.50       2.35 
 1                1                5000.00*             20.40       0.50       2.35 
 1                1                5000.00*             20.37       0.50       2.35 
 1                1                5000.00*             20.35       0.50       2.34 
 1                1                5000.00*             20.32       0.50       2.34 
 1                1                5000.00*             20.30       0.50       2.34 
 1                1                5000.00*             20.28       0.50       2.34 
 1                1                5000.00*             20.26       0.50       2.34 
 1                1                5000.00*             20.24       0.50       2.34 
 1                1                5000.00*             20.23       0.50       2.34 
 1                1                5000.00*             20.21       0.50       2.33 
 1                1                5000.00*             20.20       0.50       2.33 
 1                1                5000.00*             20.18       0.50       2.33 
 1                1                5000.00*             20.17       0.50       2.33 
 1                1                5000.00*             20.16       0.50       2.33 
 1                1                5000.00*             20.15       0.50       2.33 
 1                1                5000.00*             20.14       0.50       2.33 
 1                1                5000.00*             20.13       0.50       2.33 
 1                1                5000.00*             20.12       0.50       2.33 
 1                1                5000.00*             20.11       0.50       2.33 
 1                1                5000.00*             20.10       0.50       2.33 
 1                1                5000.00*             20.10       0.50       2.33 
 1                1                5000.00*             20.09       0.50       2.32 
 1                1                5000.00*             20.08       0.50       2.32 
 1                1                5000.00*             20.08       0.50       2.32 
 1                1                5000.00*             20.07       0.50       2.32 
 1                1                5000.00*             20.07       0.50       2.32 
 1                1                5000.00*             20.06       0.50       2.32 
 1                1                5000.00*             20.06       0.50       2.32 
 1                1                5000.00*             20.05       0.50       2.32 
 1                1                5000.00*             20.05       0.50       2.32 
 1                1                5000.00*             20.05       0.50       2.32 
 1                1                5000.00*             20.04       0.50       2.32 
 1                1                5000.00*             20.04       0.50       2.32 
 1                1                5000.00*             20.04       0.50       2.32 
 1                1                5000.00*             20.04       0.50       2.32 
 1                1                5000.00*             20.03       0.50       2.32 
 1                1                5000.00*             20.03       0.50       2.32 
 1                1                5000.00*             20.03       0.50       2.32 
 1                1                5000.00*             20.03       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.02       0.50       2.32 
 1                1                5000.00*             20.01       0.50       2.32 
