Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05
                                                                   
# Rivers            = 1 
# Hydraulic Reaches = 3 
# River Stations    = 5 
# Plans             = 1 
# Profiles          = 145 

 Reach            River Sta        Profile            Q Total 
                                                       (m3/s) 
                                                                   
 2                20000            06NOV2025 1120       20.14 
 2                20000            06NOV2025 1130       20.13 
 2                20000            06NOV2025 1140       20.13 
 2                20000            06NOV2025 1150       20.13 
 2                20000            06NOV2025 1200       20.13 
 2                20000            06NOV2025 1210       20.12 
 2                20000            06NOV2025 1220       20.12 
 2                20000            06NOV2025 1230       20.12 
 2                20000            06NOV2025 1240       20.12 
 2                20000            06NOV2025 1250       20.12 
 2                20000            06NOV2025 1300       20.11 
 2                20000            06NOV2025 1310       20.11 
 2                20000            06NOV2025 1320       20.11 
 2                20000            06NOV2025 1330       20.11 
 2                20000            06NOV2025 1340       20.11 
 2                20000            06NOV2025 1350       20.11 
 2                20000            06NOV2025 1400       20.10 
 2                20000            06NOV2025 1410       20.10 
 2                20000            06NOV2025 1420       20.10 
 2                20000            06NOV2025 1430       20.10 
 2                20000            06NOV2025 1440       20.10 
 2                20000            06NOV2025 1450       20.10 
 2                20000            06NOV2025 1500       20.09 
 2                20000            06NOV2025 1510       20.09 
 2                20000            06NOV2025 1520       20.09 
 2                20000            06NOV2025 1530       20.09 
 2                20000            06NOV2025 1540       20.09 
 2                20000            06NOV2025 1550       20.09 
 2                20000            06NOV2025 1600       20.09 
 2                20000            06NOV2025 1610       20.09 
 2                20000            06NOV2025 1620       20.08 
 2                20000            06NOV2025 1630       20.08 
 2                20000            06NOV2025 1640       20.08 
 2                20000            06NOV2025 1650       20.08 
 2                20000            06NOV2025 1700       20.08 
 2                20000            06NOV2025 1710       20.08 
 2                20000            06NOV2025 1720       20.08 
 2                20000            06NOV2025 1730       20.08 
 2                20000            06NOV2025 1740       20.07 
 2                20000            06NOV2025 1750       20.07 
 2                20000            06NOV2025 1800       20.07 
 2                20000            06NOV2025 1810       20.07 
 2                20000            06NOV2025 1820       20.07 
 2                20000            06NOV2025 1830       20.07 
 2                20000            06NOV2025 1840       20.07 
 2                20000            06NOV2025 1850       20.07 
 2                20000            06NOV2025 1900       20.07 
 2                20000            06NOV2025 1910       20.07 
 2                20000            06NOV2025 1920       20.06 
 2                20000            06NOV2025 1930       20.06 
 2                20000            06NOV2025 1940       20.06 
 2                20000            06NOV2025 1950       20.06 
 2                20000            06NOV2025 2000       20.06 
 2                20000            06NOV2025 2010       20.06 
 2                20000            06NOV2025 2020       20.06 
 2                20000            06NOV2025 2030       20.06 
 2                20000            06NOV2025 2040       20.06 
 2                20000            06NOV2025 2050       20.06 
 2                20000            06NOV2025 2100       20.06 
 2                20000            06NOV2025 2110       20.06 
 2                20000            06NOV2025 2120       20.05 
 2                20000            06NOV2025 2130       20.05 
 2                20000            06NOV2025 2140       20.05 
 2                20000            06NOV2025 2150       20.05 
 2                20000            06NOV2025 2200       20.05 
 2                20000            06NOV2025 2210       20.05 
 2                20000            06NOV2025 2220       20.05 
 2                20000            06NOV2025 2230       20.05 
 2                20000            06NOV2025 2240       20.05 
 2                20000            06NOV2025 2250       20.05 
 2                20000            06NOV2025 2300       20.05 
 2                20000            06NOV2025 2310       20.05 
 2                20000            06NOV2025 2320       20.05 
 2                20000            06NOV2025 2330       20.05 
 2                20000            06NOV2025 2340       20.04 
 2                20000            06NOV2025 2350       20.04 
 2                20000            07NOV2025 0000       20.04 
                                                              
 3                20000            06NOV2025 0000       40.00 
 3                20000            06NOV2025 0010       40.00 
 3                20000            06NOV2025 0020       40.00 
 3                20000            06NOV2025 0030       40.00 
 3                20000            06NOV2025 0040       40.00 
 3                20000            06NOV2025 0050       40.00 
 3                20000            06NOV2025 0100       40.00 
 3                20000            06NOV2025 0110       40.00 
 3                20000            06NOV2025 0120       40.00 
 3                20000            06NOV2025 0130       40.00 
 3                20000            06NOV2025 0140       40.00 
 3                20000            06NOV2025 0150       40.00 
 3                20000            06NOV2025 0200       40.00 
 3                20000            06NOV2025 0210       40.02 
 3                20000            06NOV2025 0220       40.25 
 3                20000            06NOV2025 0230       40.63 
 3                20000            06NOV2025 0240       41.11 
 3                20000            06NOV2025 0250       41.64 
 3                20000            06NOV2025 0300       42.23 
 3                20000            06NOV2025 0310       42.84 
 3                20000            06NOV2025 0320       43.10 
 3                20000            06NOV2025 0330       43.08 
 3                20000            06NOV2025 0340       42.89 
 3                20000            06NOV2025 0350       42.62 
 3                20000            06NOV2025 0400       42.26 
 3                20000            06NOV2025 0410       41.83 
 3                20000            06NOV2025 0420       41.56 
 3                20000            06NOV2025 0430       41.39 
 3                20000            06NOV2025 0440       41.26 
 3                20000            06NOV2025 0450       41.14 
 3                20000            06NOV2025 0500       41.04 
 3                20000            06NOV2025 0510       40.95 
 3                20000            06NOV2025 0520       40.88 
 3                20000            06NOV2025 0530       40.82 
 3                20000            06NOV2025 0540       40.76 
 3                20000            06NOV2025 0550       40.71 
 3                20000            06NOV2025 0600       40.66 
 3                20000            06NOV2025 0610       40.62 
 3                20000            06NOV2025 0620       40.58 
 3                20000            06NOV2025 0630       40.55 
 3                20000            06NOV2025 0640       40.52 
 3                20000            06NOV2025 0650       40.49 
 3                20000            06NOV2025 0700       40.47 
 3                20000            06NOV2025 0710       40.44 
 3                20000            06NOV2025 0720       40.42 
 3                20000            06NOV2025 0730       40.40 
 3                20000            06NOV2025 0740       40.39 
 3                20000            06NOV2025 0750       40.37 
 3                20000            06NOV2025 0800       40.35 
 3                20000            06NOV2025 0810       40.34 
 3                20000            06NOV2025 0820       40.33 
 3                20000            06NOV2025 0830       40.32 
 3                20000            06NOV2025 0840       40.31 
